"Type Etablissement","AA","AB","AC","AD","AE","AF","AG","AH","AI","AJ","AK","AL","AM","AN","AO","AP","AQ","AR","AS","AU","AV","AX","AZ"
"CH2",805,566,140,317,426,21,430,43,3,85,1620,751,67,88,109,126,5,44,1,8,155,764,0
"CH2",381,151,159,493,836,26,739,131,6,67,1217,932,101,3,146,100,4,76,0,1,376,1063,0
"CH2",1871,536,397,290,893,101,277,281,279,176,755,532,123,1166,180,263,7,32,0,1,98,550,5
"CH2",1048,714,299,247,391,48,242,25,8,74,1079,784,85,16,250,298,1,108,122,2,158,440,5
"CH2",1254,545,454,332,402,54,569,359,118,163,826,559,135,338,376,191,4,146,1,2,194,897,2
"CH2",696,95,247,751,771,38,865,218,5,365,2456,2104,89,1,218,91,0,130,2,0,157,354,0
"CH2",885,683,564,256,165,110,225,267,155,302,2316,1795,108,316,102,236,0,58,1,1,622,405,0
"CH2",78,41,292,112,99,8,105,6,3,1843,2770,1829,22,0,24,20,0,11,0,1,48,188,1
"CH2",1085,868,246,655,370,116,668,164,21,460,1637,636,126,26,685,300,3,210,3,0,524,507,0
"CH2",486,290,177,179,113,19,244,37,7,157,3198,2163,142,18,107,406,24,207,60,6,22,206,0
"CH2",248,39,128,296,179,24,380,43,5,61,2475,1142,33,0,142,69,4,291,0,0,40,306,0
"CH3",1009,1089,278,559,1264,86,1371,229,216,411,1291,711,370,527,172,447,6,68,0,3,354,1343,3
"CH3",1711,815,747,597,679,170,863,188,18,254,1130,706,105,2,293,352,5,151,2,2,417,1485,1
"CH3",1177,913,427,241,727,106,360,173,69,284,1382,626,149,2281,56,173,1,64,5,1,37,987,0
"CH3",2069,1630,371,596,615,103,703,649,445,199,1294,565,457,1119,241,228,3,197,62,3,156,1274,1
"CH3",1778,1370,468,820,1087,160,770,426,6,137,1293,865,316,1678,118,280,7,197,15,7,462,1754,43
"CH3",1300,861,775,630,834,193,865,510,21,237,1210,778,93,86,184,766,3,125,0,3,354,1231,0
"CH3",3016,1160,481,438,648,388,523,695,751,358,694,400,151,409,592,291,4,52,3,5,105,981,31
"CH3",1675,1757,669,803,988,52,927,447,98,235,1586,883,254,415,405,429,29,208,4,4,382,1994,1
"CH3",1461,1466,1016,561,646,151,646,290,13,223,847,495,106,59,234,405,2,78,1,2,584,997,9
"CH3",1770,1370,306,560,2202,138,739,462,381,215,1005,708,216,1094,144,240,3,114,0,1,333,1079,40
"CH3",702,354,190,520,778,67,710,71,26,84,1032,696,226,1227,206,152,4,100,32,0,249,2709,2
"CH3",1536,1103,457,600,562,128,719,328,108,127,872,460,202,760,216,466,10,155,1,0,312,899,0
"CH3",1629,1275,986,678,1225,125,522,460,54,516,1020,0,151,439,856,361,4,76,1,0,190,1162,18
"CH3",1673,1393,623,535,783,145,658,391,263,294,1194,871,263,528,248,243,4,127,1,8,400,1100,3
